department,faculty,research_links,teaching_links
Accounting,28,20,7.0
Anthropology,28,15,13.0
Economic History,26,17,3.0
Economics,71,45,27.0
Education (UCL),-,2,
European Institute,32,41,7.0
Finance,27,21,11.0
Gender Institute,13,24,10.0
Geography & Environment,40,33,15.0
Government,62,66,27.0
Grantham Research Institute of Climate Change and the Environment,-,1,
International Development,33,27,8.0
International History,37,21,5.0
International Relations,40,41,11.0
Law,70,49,13.0
Management,72,27,3.0
Mathematics,27,8,7.0
Media & Communications,20,10,10.0
Methodology,15,15,0.0
"Philosophy, Logic and Scientific Method",20,16,5.0
Social Policy,52,43,14.0
Social Psychology,17,3,0.0
Sociology,37,40,12.0
Statistics,21,11,14.0
