Department,Teaching Links,Total
Accounting,4 (teaching only 1),7
Anthropology,4 (1) ,13
Economics,8 (7),27
Economic History,3,3
Finance,4 (3),11
Geography & Environment,4 (1),15
Government,12 (2) ,27
International History,4 (1),5
International Relations,7 (2),11
Law,4 (1) ,13
Management,3,3
Mathematics,2 (2),7
Media & Communications,1 (1),10
Methodology,0,0
"Philosophy, Logic and Scientific Method",3 (1),5
Social Policy,5 (1),14
Social Psychology,0,0
Sociology,2 (1),12
Statistics,2 (2),14
International Development,4 (2),8
European Institute,1 (1),7
Gender Institute,1 (1),10
