"Government, Law",9
"Government, Philosophy",4
"Government, Economics",6
"Government, IR",7
"Government, Methodology",3
"Government, Gender Institute",1
"Government, International History",4
"International Development, Accounting",1
"International Development, Economic History",1
"International Development, Government",2
"International Development, Geography",3
"International Development, Gender Institute",3
"International Development, Law",2
"International Development, Statistics",1
"International Development, Methodology",1
"International History, Law",1
"International History, Social Policy",2
"International History, Economics",1
"International History, Geography",1
"IR, Mathematics",1
"IR, Economics",2
"IR, Sociology",2
"IR, Methodology",1
"IR, Geography",1
"IR, Gender Institute",1
"IR, International History",4
"IR, Social Policy",3
"IR, Economic History",1
"Law, Management",2
"Law, IR",4
"Law, Mathematics",1
"Law, Methodology",2
"Law, Philosophy",3
"Law, Social Policy",2
"Management, Anthropology",1
"Management, IR",2
"Management, International Development",3
"Management, Mathematics",1
"Mathematics, Economics",1
"Mathematics, Statistics",1
"Media & Communications, Management",2
"Media & Communications, Sociology",1
"Media & Communications, Law",2
"Media & Communications, Anthropology",1
"Media & Communications, Gender Institute",1
"Media & Communications, Geography",1
"Media & Communications, Social Policy",1
"Media & Communications, Psychology",1
"Media & Communications, Sociology",1
"Methodology, EI",1
"Methodology, Gender Institute",1
"Methodology, International History",1
