"Philosophy, Economics",2
"Philosophy, IR",1
"Philosophy, EI",1
"Philosophy, Statistics",1
"Philosophy, Social Policy",1
"Social Policy, Economic History",1
"Social Policy, Government",3
"Social Policy, Gender Institute",2
"Social Policy, Economic History",2
"Social Policy, Sociology",4
"Social Policy, International Development",4
"Social Policy, Methodology",1
"Social Policy, Management",1
"Social Policy, Accounting",1
"Social Policy, Statistics",1
"Social Psychology, Methodology",2
"Sociology, Management",1
"Sociology, Law",5
"Sociology, International Development",2
"Sociology, Gender Institute",3
"Sociology, Geography",1
"Sociology, Methodology",2
"Sociology, International History",2
"Sociology, Philosophy",1
"Sociology, Social Policy",2
"Sociology, Economics",1
"Sociology, Statistics",1
"Statistics, Philosophy",1
"Statistics, Law",1
"Statistics, Economic History",1
"Statistics, Mathematics",1
