"Law, Accounting",1,1,MSc Law and Accounting
"Management, Economics",1,1,MSc Economics and Management
"Management, International Relations",1,1,TRIUM Global Executive MBA
"Mathematics, Economics",2,2,"BSc Mathematics and/with Economics, BSc Econometrics and Mathematical Economics"
"Mathematics, Finance, Statistics",(1),1,MSc Financial Mathematics
"Philosophy, Logic, Scientific Method, Economics",2,2,"BSc Philosophy and Economics, MSc Economics and Philosophy"
"Philosophy, Economics, Government",1,1,"BSc Philosophy, Politics and Economics"
"Social Policy, Economics",(1),1,BSc Social Policy and Economics
"Social Policy, Sociology",(1),1,BSc Social Policy and Sociology
"Social Policy, Government",(1),1,BSc Social Policy with Government
"Social Policy, London School of Hygiene and Tropical Medicine",1,1,"MSc Health Policy, Planning and Financing"
"Social Policy, Management",1,1,"MSc, Executive MSc Behavioural Science"
"Sociology, Anthropology, Economics, Geography, Government, Law, Social Policy, Media and Communications, Gender, Statistics",(1),1,MSc Inequalities and Social Science
"Statistics, Finance, Mathematics",(1),1,BSc Statistics with Finance
"Statistics, Mathematics",(1),1,BSc Business Mathematics and Statistics
"International Development, NY Law School",1,1,"IR250: The Global Politics of Protest and Change (summer school)"
"Gender Institute, Media and Communications",1,1,"MSc Gender, Media and Culture"
