The EU in the ,European ,Government ,Yes ,No 
"World:Pursuing Values, ",Commission ,"","",""
Shaping Global Order and ,Horizon 2020 ,"","",""
Meeting Critics (VALORD) ,"","","",""
VALYEU ,European ,Media and Communications ,Yes ,No 
"",Commission ,"","",""
"",Horizon 2020 ,"","",""
Newton fellowship-migration ,Royal Society ,Social Policy ,Yes ,No 
and social change in ,"","","",""
Bangladesh ,"","","",""
NIHR - Surgical Services for ,Economic and ,LSE Health and Social Care ,Yes , No 
the 21st Century ,Social Research ,"","",""
"",Council (ESRC) ,"","",""
