Departments ,Links ,Total ,Programme Titles 
"Accounting, Finance ",3 ,3 ,"BSc Accounting and Finance, MSc Accounting "
"","","","and Finance, Diploma in Accounting and "
"","","",Finance 
"Anthropology, Law ",2 ,2 ,"BA Anthropology and Law, MSc Law, "
"","","",Anthropology and Society 
"Anthropology, International ",2 ,2 ,"MSc in Anthropology and Development, MSc in "
Development ,"","",Anthropology and Development Management 
"Economic History, International ",1 ,1 ,MSc Political Economy of Late Development 
Development ,"","",""
"Economics, Economic History ",1 (1) ,2 ,"BSc Economics with Economic history, BSc "
"","","",Economic History 
"Finance, Economics ",1 ,1 ,MSc Finance and Economics 
"Geography and Environment, ",(2) ,2 ,"BSc Geography with Economics, BSc "
Economics ,"","",Environmental Policy with Economics 
"Geography and Environment, ",(1) ,1 ,MSc Environment and Development 
International Development ,"","",""
"Geography and Environment, ",(1) ,1 ,MSc Real Estate Economics and Finance 
"Accounting, Finance, Economics ","","",""
"Government, Economics ",1 (1) ,2 ,"BSc Government and Economics, EMPA "
"","","",Executive Master of Public Administration 
"Government, International ",1 (1) ,2 ,"BSc Government and History, MSc History of "
History ,"","",Nationalism 
"Government, International ",1 (1) ,2 ,"BSc Politics and International Relations, IR270: "
Relations ,"","",What Kind of Europe (summer school) 
"Government, Philosophy ",(1) ,1 ,BSc Politics and Philosophy 
"Government, International ",(1) ,1 ,MSc Global Politics 
"Relations, International ","","",""
"Development, EI ","","",""
"Government, Sociology, EI ",(1) ,1 ,MSc International Migration and Public Policy 
"Government, International ",1 ,1 ,MSc Politics and Government in the EU 
"Relations, EI ","","",""
"Government, Law ",1 ,1 ,MSc Regulation 
"International History, ",3 ,3 ,"BSc International Relations and History, MSc "
International Relations ,"","","Theory and History of International Relations, "
"","","",LSE-PKU Double MSc Degree in International 
"","","",Affairs 
