department,faculty,research_links,teaching_links
Accounting,28,20,5
Anthropology,28,16,5
Economic History,26,17,3
Economics,71,44,15
European Institute,32,42,2
Finance,27,20,7
Gender Institute,13,24,2
Geography and Environment,40,33,5
Government,62,75,14
International Development,33,27,6
International History,37,21,5
International Relations,40,41,9
Law,70,66,5
Management,72,45,3
Mathematics,27,9,4
Media and Communications,20,11,2
Methodology,15,15,0
"Philosophy, Logic, Scientific Method",20,18,4
Social Policy,52,43,6
Social Psychology,17,3,0
Sociology,37,41,3
Statistics,21,13,4
