department1,department2,links
Accounting,Economics,1
Accounting,Finance,3
Accounting,Finance,1
Accounting,Geography & Environment,1
Accounting,Law,1
Anthropology,Economics,1
Anthropology,Gender Institute,1
Anthropology,Geography & Environment,1
Anthropology,Government,1
Anthropology,International Development,2
Anthropology,Law,2
Anthropology,Law,1
Anthropology,Media & Communications,1
Anthropology,Social Policy,1
Anthropology,Sociology,1
Anthropology,Statistics,1
EI,Government,1
EI,International Development,1
EI,International Relations,1
EI,Sociology,1
Economic History,Economics,2
Economic History,International Development,1
Economics,Finance,1
Economics,Gender Institute,1
Economics,Geography & Environment,2
Economics,Geography & Environment,1
Economics,Government,2
Economics,Government,1
Economics,Law,1
Economics,Management,1
Economics,Mathematics,2
Economics,Media & Communications,1
Economics,Philosophy/Logic/Scientific Method,2
Economics,Philosophy/Logic/Scientific Method,1
Economics,Social Policy,1
Economics,Sociology,1
Economics,Statistics,1
Finance,Geography & Environment,1
Finance,Mathematics,1
Finance,Statistics,1
Gender Institute,Geography & Environment,1
Gender Institute,Government,1
Gender Institute,Law,1
Gender Institute,Media & Communications,1
Gender Institute,Social Policy,1
Gender Institute,Sociology,1
Gender Institute,Statistics,1
Geography & Environment,Government,1
Geography & Environment,International Development,1
Geography & Environment,Law,1
Geography & Environment,Media & Communications,1
Geography & Environment,Social Policy,1
Geography & Environment,Sociology,1
Geography & Environment,Statistics,1
Government,International Development,1
Government,International History,2
Government,International Relations,2
Government,International Relations,1
Government,Law,1
Government,Media & Communications,1
Government,Philosophy/Logic/Scientific Method,1
Government,Social Policy,1
Government,Sociology,1
Government,Statistics,1
International Development,International Relations,1
International Development,NY Law School,1
International History,International Relations,3
International Relations,Management,1
Law,Media & Communications,1
Law,Social Policy,1
Law,Sociology,1
Law,Statistics,1
London School of Hygiene and Tropical Medicine,Social Policy,1
Management,Social Policy,1
Mathematics,Statistics,1
Media & Communications,Social Policy,1
Media & Communications,Sociology,1
Media & Communications,Statistics,1
Social Policy,Sociology,1
Social Policy,Statistics,1
Sociology,Statistics,1
